,Team,Name,Age,PER,dIQ,Dnk,Drb,End,2Pt,FT,Ins,Jmp,oIQ,Pss,Reb,Spd,Str,3Pt,Hgt,Ovr
242,MEM,Nerlens Noel,27,11.195892444920542,74,61,50,46,32,34,49,48,45,48,64,42,71,24,64,59
243,TOR,Kendrick Nunn,26,10.037341979457299,35,84,54,48,75,47,63,62,49,57,36,65,50,68,33,55
244,FA,Jusuf Nurkić,27,10.88884833621318,64,53,40,34,29,40,72,19,43,45,63,27,62,33,70,51
245,LAL,Semi Ojeleye,27,13.730780100870069,45,56,48,43,40,45,38,46,47,44,54,56,59,63,44,53
246,HOU,Jahlil Okafor,26,13.957426595623172,46,70,40,53,50,40,73,46,55,42,62,45,68,34,63,56
247,FA,Victor Oladipo,29,7.844527937151257,50,49,56,41,37,49,43,56,39,66,40,55,48,29,42,48
248,DAL,Kelly Olynyk,30,14.324615226603802,64,59,58,61,63,58,71,42,57,55,69,39,60,57,62,63
249,CLE,Royce O'Neale,28,11.146476225712664,60,50,64,42,45,55,49,48,51,67,66,46,48,57,46,58
250,MIA,Chinanu Onuaku,25,11.983229210557974,58,55,60,59,48,49,51,48,54,58,59,50,60,51,49,60
251,FA,Cedi Osman,26,3.9710321543671494,51,54,51,40,47,44,42,37,46,46,53,40,52,46,48,47
252,FA,Jabari Parker,26,10.053077684076543,50,52,52,28,43,38,49,25,50,49,62,33,51,34,51,43
253,ORL,Eric Paschall,25,10.72277996366597,37,74,53,46,70,56,70,58,52,45,60,46,71,51,48,55
254,PHI,Cameron Payne,27,16.01795632098205,75,46,71,52,75,72,56,51,58,77,53,50,48,72,34,64
255,SA,Elfrid Payton,27,18.09082376898183,77,65,77,75,57,40,62,69,57,89,67,57,79,56,38,72
256,FA,Alec Peters,26,10.567531229381684,34,41,50,30,54,53,30,41,45,38,47,42,39,75,52,43
257,FA,Mason Plumlee,31,11.258384729764801,53,55,38,29,27,26,54,54,37,55,63,50,56,41,70,54
258,FA,Jakob Poeltl,26,2.8018032232314587,44,54,41,26,19,25,47,37,41,40,56,44,57,26,69,44
259,MIN,Kristaps Porziņģis,26,16.306285114877788,51,63,59,63,57,57,60,64,48,53,61,57,61,42,77,65
260,HOU,Norman Powell (PO),28,17.591643767491448,60,57,63,53,58,66,51,59,54,61,61,62,51,69,39,62
261,GSW,Taurean Prince,27,13.675576696510038,56,58,55,34,46,55,47,56,39,51,50,60,54,50,50,56
262,FA,Zhou Qi,25,9.40679538179845,51,57,42,47,40,46,49,36,45,39,50,35,57,57,58,51
263,FA,Tim Quarterman ,27,11.019412004892475,47,52,57,40,54,47,53,50,42,56,54,50,57,55,49,54
264,FA,Davon Reed,26,8.007959025861389,48,53,53,36,48,51,41,48,45,49,56,57,54,57,42,52
265,FA,Malachi Richardson,25,22.721805517380883,43,50,48,28,43,43,39,46,44,45,45,49,41,44,45,41
266,DET,Thomas Robinson,30,7.858400271910013,61,65,49,44,25,28,71,33,37,49,72,30,65,41,59,52
267,DAL,Terrence Ross (PO),30,22.139520978202675,67,70,77,60,78,76,67,54,71,61,63,56,67,87,44,72
268,ATL,Terry Rozier (PO),27,14.963392448086672,52,45,67,54,59,62,48,40,63,67,75,41,52,63,35,57
269,NYK,D'Angelo Russell,25,18.184142314248827,71,56,73,63,68,58,63,65,65,72,60,65,63,58,37,69
270,NOL,Domantas Sabonis,25,16.210237074397632,49,56,57,47,49,44,45,54,53,55,57,51,62,53,62,60
271,CLE,JaKarr Sampson,28,9.257956276345357,56,50,58,45,42,48,47,56,51,52,54,63,56,48,51,59
272,NOL,Dario Šarić,27,17.282358117229368,54,69,56,51,48,52,66,53,57,61,73,51,70,59,59,64
273,SA,Tornike Shengelia,30,9.599479651449855,60,52,48,40,52,51,54,34,43,45,54,44,57,48,50,52
274,CHA,Pascal Siakam,27,16.951000209155342,56,62,45,49,57,67,60,54,60,43,65,53,55,55,64,62
275,TOR,Ben Simmons (TO),25,9.012599090200599,57,54,55,78,31,18,56,59,42,67,65,51,56,24,62,59
276,LAL,Marcus Smart (PO),27,15.83854171945755,77,59,74,47,49,43,47,59,59,70,59,58,56,71,37,66
277,MEM,Tony Snell (PO),30,13.770491719875679,43,62,68,46,68,65,41,79,50,60,62,76,62,79,44,64
278,MIL,Nik Stauskas,28,16.62298535427686,44,61,70,53,73,78,33,73,54,54,54,75,63,68,44,64
279,BOS,Jarnell Stokes,27,8.198180069507758,59,63,54,55,49,47,58,49,52,53,64,48,60,51,55,60
280,HOU,Jared Sullinger (PO),29,20.01472085502472,71,62,58,59,41,57,49,38,65,61,70,43,60,49,60,65
281,UTA,Jae'Sean Tate,26,7.381502154103574,40,63,48,41,45,48,52,58,43,46,68,58,58,43,38,48
282,FA,Tyshawn Taylor,31,11.188719198884419,53,65,62,37,51,49,60,47,48,57,56,46,60,47,37,53
283,MIA,Sindarius Thornwell,27,3.8171390568527097,48,49,51,41,38,42,37,60,30,52,40,66,59,37,45,50
284,MIA,Mike Tobey,27,10.509455929552743,48,59,61,52,52,58,57,49,52,56,56,55,55,51,49,58
285,LAC,Karl-Anthony Towns (PO),26,20.36264249566012,57,67,56,77,63,63,74,51,66,61,74,47,74,44,70,69
286,FA,Allonzo Trier,25,1.3336502178024108,35,58,55,39,35,50,60,51,40,53,53,55,57,37,41,45
287,NYK,Myles Turner (PO),25,13.974966796427783,50,57,42,35,50,42,54,52,52,40,51,50,59,39,67,56
288,FA,Jarrod Uthoff,28,10.949570896319079,43,61,57,39,49,52,38,52,53,48,54,48,51,56,50,54
289,SA,Jonas Valančiūnas (PO),29,20.12684277289642,58,78,66,54,51,61,62,57,57,62,79,60,74,45,69,69
290,WAS,Denzel Valentine (PO),28,16.684292603673065,57,53,64,50,81,83,45,54,53,61,57,53,62,91,39,63
291,POR,Rashad Vaughn,25,14.662790351424729,62,50,52,62,73,65,33,67,48,47,44,67,54,72,44,63
292,FA,Noah Vonleh,26,17.925701799771147,48,54,46,32,39,37,51,35,43,38,64,41,50,44,59,46
293,FA,Tyrone Wallace,27,4.9200980019913505,40,46,56,35,39,47,47,53,39,46,46,55,51,39,43,44
294,FA,Derrick White,27,6.8011727616700295,50,48,55,38,34,41,40,50,41,52,58,57,49,56,46,52
295,FA,Isaiah Whitehead,26,4.904223218898606,41,51,65,41,48,60,45,66,36,63,43,62,52,49,41,53
296,NYK,Andrew Wiggins,26,15.567490051584205,52,79,57,59,50,49,52,64,54,58,56,57,71,40,48,61
297,LAC,Johnathan Williams (PO),26,13.758649690462429,50,65,52,42,45,46,64,43,57,48,69,44,69,43,59,57
298,HOU,Kenrich Williams,27,15.85001279072511,54,45,58,42,55,46,32,47,49,47,57,49,53,54,47,54
299,NOL,Justise Winslow,25,8.108997408885134,67,53,56,54,45,41,33,50,49,54,59,50,52,46,46,57
300,POR,Tony Wroten (PO),28,19.581658370070514,53,55,71,60,51,57,62,60,64,74,63,57,65,57,45,65
301,FA,James Young,26,7.204245688165722,39,54,46,31,44,47,23,42,47,36,44,50,42,60,44,42
302,ORL,Tyler Zeller,31,16.954781715787522,54,64,46,48,49,60,45,54,48,53,69,59,62,57,66,62
303,FA,Stephen Zimmerman,25,8.780007347970527,51,49,47,36,41,35,45,43,41,43,54,40,46,41,55,45
304,LAL,Paul Zipser,27,10.389747451812347,43,58,56,38,52,59,38,62,33,51,54,63,51,64,51,55
